command	availability	go_package	effective_owner	implementation_source	parser_model	base_synopsis	conditional_synopsis	applicability	required_options	conditional_options	compatibility_scope	option_arguments	operands	operand_rules	special_tokens	stdin	environment	stdout	stderr	effects	exit_status	clause_ids	standard_source	parser_source	go_evidence	shell_evidence	shell_routing_evidence	provider_evidence	evidence_state
logname	go	cmds/logname	go	cmds/logname	flagset	logname	-	base	-	-	POSIX Issue 7 only; GNU compatibility is out of scope	NONE	NONE	Any operand is rejected as a usage error.	-- ends option parsing; trailing words are still rejected operands.	Not used.	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	"The login name followed by a newline, the ""%s\n"" format."	"Used only for diagnostic messages; ""logname: no login name"" when no name can be determined."	The name comes from a getlogin()-equivalent source only, never the environment or the effective user: the kernel audit login uid mapped through the user database on Linux; every other platform currently always reports no login name.	0 after writing the name; 1 when no login name can be determined; 2 usage.	XCU:logname:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/logname.html	cmds/logname	cmds/logname/logname_test.go#TestLogname;cmds/logname/logname_test.go#TestLognameIgnoresEnvironmentAccountNames;cmds/logname/logname_test.go#TestLognameNoLoginName;cmds/logname/logname_test.go#TestLognameRejectsOperandsAndUnknownOptions;cmds/logname/logname_test.go#TestResolveLoginUID;cmds/logname/logname_test.go#TestLoginNameHasNoEffectiveUserFallback	-	-	-	partial
lp	external_provider	cmds/posixproviders	external_provider	pkg/posixprovider/manifest.tsv#lp	external	lp [-c] [-d dest] [-n copies] [-msw] [-o option]... [-t title] [file...]	-	base	-c;-d;-m;-n;-o;-s;-t;-w	-	POSIX Issue 7 only; GNU compatibility is out of scope	-d=<dest>;-n=<copies>;-o=<option>;-t=<title>	file	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;LC_TIME;LPDEST;NLSPATH;PRINTER;TZ	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:lp:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/lp.html	-	-	-	-	-	unverified
ls	go	cmds/ls	go	cmds/ls	flagset	-	xsi::ls [-ikqrs] [-glno] [-A|-a] [-C|-m|-x|-1]  [-F|-p] [-H|-L] [-R|-d] [-S|-f|-t] [-c|-u] [file...]	xsi	-	xsi:-A,-C,-F,-H,-L,-R,-S,-a,-c,-d,-f,-g,-i,-k,-l,-m,-n,-o,-p,-q,-r,-s,-t,-u,-x,-1	POSIX Issue 7 only; GNU compatibility is out of scope	-	file	UNVERIFIED	UNVERIFIED	UNVERIFIED	COLUMNS;LANG;LC_ALL;LC_COLLATE;LC_CTYPE;LC_MESSAGES;LC_TIME;NLSPATH;TZ	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:ls:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/ls.html	cmds/ls	-	-	-	-	unverified
m4	external_provider	cmds/posixproviders	external_provider	pkg/posixprovider/manifest.tsv#m4	external	m4 [-s] [-D name[=val]]... [-U name]... file...	-	base	-s;-D;-U	-	POSIX Issue 7 only; GNU compatibility is out of scope	-D=<name[=val]>;-U=<name>	file	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:m4:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/m4.html	-	-	-	-	-	unverified
mailx	external_provider	cmds/posixproviders	external_provider	pkg/posixprovider/manifest.tsv#mailx	external	mailx [-s subject] address... ; mailx [-HiNn] [-F] [-u user] ; mailx -f [-HiNn] [-F] [file]	optional::mailx -e	base;optional	-f;-F;-H;-i;-n;-N;-s;-u	optional:-e	POSIX Issue 7 only; GNU compatibility is out of scope	-s=<subject>;-u=<user>	address;file	UNVERIFIED	UNVERIFIED	UNVERIFIED	DEAD;EDITOR;HOME;LANG;LC_ALL;LC_CTYPE;LC_TIME;LC_MESSAGES;LISTER;MAILRC;MBOX;NLSPATH;PAGER;SHELL;TERM;TZ;VISUAL	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:mailx:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/mailx.html	-	-	-	-	-	unverified
make	external_provider	cmds/posixproviders	external_provider	pkg/posixprovider/manifest.tsv#make	external	-	development::make [-einpqrst] [-f makefile]... [-k|-S] [macro=value...] [target_name...]	development	-	development:-e,-f,-i,-k,-n,-p,-q,-r,-S,-s,-t	POSIX Issue 7 only; GNU compatibility is out of scope	-f=<makefile>	target_name;macro=value	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;MAKEFLAGS;NLSPATH;PROJECTDIR	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:make:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/make.html	-	-	-	-	-	unverified
man	external_provider	cmds/posixproviders	external_provider	pkg/posixprovider/manifest.tsv#man	external	man [-k] name...	-	base	-k	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	name	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH;PAGER	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:man:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/man.html	-	-	-	-	-	unverified
mesg	go	cmds/mesg	go	cmds/mesg	flagset	mesg [y|n]	-	base	-	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	y;n	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:mesg:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/mesg.html	cmds/mesg	-	-	-	-	unverified
mkdir	go	cmds/mkdir	go	cmds/mkdir	flagset	mkdir [-p] [-m mode] dir...	-	base	-m;-p	-	POSIX Issue 7 only; GNU compatibility is out of scope	-m=<mode>	dir	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:mkdir:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/mkdir.html	cmds/mkdir	-	-	-	-	unverified
mkfifo	go	cmds/mkfifo	go	cmds/mkfifo	flagset	mkfifo [-m mode] file...	-	base	-m	-	POSIX Issue 7 only; GNU compatibility is out of scope	-m=<mode>	file	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:mkfifo:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/mkfifo.html	cmds/mkfifo	-	-	-	-	unverified
more	go	cmds/more	go	cmds/more	flagset	-	optional::more [-ceisu] [-n number] [-p command] [-t tagstring] [file...]	optional	-	optional:-c,-e,-i,-n,-p,-s,-t,-u	POSIX Issue 7 only; GNU compatibility is out of scope	-n=<number>;-p=<command>;-t=<tagstring>	file	UNVERIFIED	UNVERIFIED	UNVERIFIED	COLUMNS;EDITOR;LANG;LC_ALL;LC_COLLATE;LC_CTYPE;LC_MESSAGES;NLSPATH;LINES;MORE;TERM	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:more:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/more.html	cmds/more	-	-	-	-	unverified
mv	go	cmds/mv	go	cmds/mv	flagset	mv [-if] source_file target_file ; mv [-if] source_file... target_dir	-	base	-f;-i	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	source_file;target_file;target_dir	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_COLLATE;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:mv:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/mv.html	cmds/mv	-	-	-	-	unverified
newgrp	go	cmds/newgrp	go	cmds/newgrp	flagset	newgrp [-l] [group]	-	base	-l	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	group	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:newgrp:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/newgrp.html	cmds/newgrp	-	-	-	-	unverified
nice	go	cmds/nice	go	cmds/nice	flagset	nice [-n increment] utility [argument...]	-	base	-n	-	POSIX Issue 7 only; GNU compatibility is out of scope	-n=<increment>	utility;argument	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH;PATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:nice:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/nice.html	cmds/nice	-	-	-	-	unverified
nm	external_provider	cmds/posixproviders	external_provider	pkg/posixprovider/manifest.tsv#nm	external	-	development::nm [-APv] [-g|-u] [-t format] file... ; xsi::nm [-APv] [-efox] [-g|-u] [-t format] file...	xsi;development	-	development:-A,-g,-P,-t,-u,-v;xsi:-e,-f,-o,-x	POSIX Issue 7 only; GNU compatibility is out of scope	-t=<format>	file	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_COLLATE;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:nm:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/nm.html	-	-	-	-	-	unverified
nohup	go	cmds/nohup	go	cmds/nohup	flagset	nohup utility [argument...]	-	base	-	-	POSIX Issue 7 only; GNU compatibility is out of scope	NONE	utility;argument	The first operand is the utility, PATH-searched when it has no separator and invoked with the remaining operands verbatim; no option parsing is performed apart from a sole --help/--version argument; a missing utility operand is an error with status 127.	No - or -- token is special; every word after the utility passes through unchanged.	A terminal standard input is redirected to an unreadable /dev/null before command lookup; a non-terminal standard input passes through to the utility.	HOME;LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH;PATH	A terminal (or absent) standard output is appended to nohup.out in the invocation directory, else $HOME/nohup.out, created 0600; otherwise the utility inherits it unchanged and nohup writes nothing to it.	Diagnostics only, including the required appending-output notice; a terminal (or absent) standard error is redirected to the same destination as standard output.	Invokes the utility (documented exec-wrapper exception) with SIGHUP ignored in the utility via a trap-and-exec shell wrapper on unix, while the nohup invocation itself also survives SIGHUP; may create or append nohup.out; the utility receives exactly the invocation environment.	126 when the utility was found but cannot be invoked; 127 for an error in nohup or a utility that could not be found, unconditionally; otherwise the exit status of the utility.	XCU:nohup:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/nohup.html	cmds/nohup	cmds/nohup/nohup_test.go#TestNohupMissing;cmds/nohup/nohup_test.go#TestNohupInternalErrorStatusIsUnconditional;cmds/nohup/nohup_test.go#TestNohupRunsCommand;cmds/nohup/nohup_test.go#TestNohupFoundButNotExecutableReturns126;cmds/nohup/nohup_test.go#TestNohupNotFoundReturns127;cmds/nohup/nohup_test.go#TestNohupRedirectsTerminalEquivalentOutput;cmds/nohup/nohup_test.go#TestNohupRedirectsTerminalOutput;cmds/nohup/nohup_test.go#TestNohupFallsBackToHomeNohupOut;cmds/nohup/nohup_test.go#TestNohupRedirectsTerminalInput;cmds/nohup/nohup_test.go#TestNohupTerminalRedirectionDiagnostics;cmds/nohup/nohup_test.go#TestNohupDevNullOpenFailure;cmds/nohup/nohup_signal_unix_test.go#TestNohupIgnoresHangupForChild;cmds/nohup/nohup_signal_unix_test.go#TestNohupInvocationSurvivesHangup;cmds/nohup/nohup_signal_unix_test.go#TestNohupPreservesInvocationEnvironment	-	-	-	partial
od	go	cmds/od	go	cmds/od	flagset	od [-v] [-A address_base] [-j skip] [-N count] [-t type_string]... [file...]	xsi::od [-bcdosx] [file] [[+]offset[.][b]]	base;xsi	-A;-j;-N;-t;-v	xsi:-b,-c,-d,-o,-s,-x	POSIX Issue 7 only; GNU compatibility is out of scope	-A=<address_base>;-j=<skip>;-N=<count>;-t=<type_string>	file;[+]offset[.][b]	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;LC_NUMERIC;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:od:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/od.html	cmds/od	-	-	-	-	unverified
paste	go	cmds/paste	go	cmds/paste	flagset	paste [-s] [-d list] file...	-	base	-d;-s	-	POSIX Issue 7 only; GNU compatibility is out of scope	-d=<list>	file	One or more file operands (zero operands default to standard input as an extension); parallel mode concatenates corresponding lines replacing each newline except the last file's with the next delimiter and treats EOF on some files as empty lines; -s writes one line per file in operand order, an empty file yielding a bare newline; without -s an unopenable operand suppresses all standard output, with -s processing continues.	A file operand of - reads standard input one line at a time, circularly across the - instances; -d list elements cycle and reset per output line (per file with -s); \n, \t, \\ and \0 (empty string) are the delimiter escapes.	Used only when a file operand is - (or, as an extension, when no operands are given).	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	The concatenated lines separated by tabs or the -d delimiter elements, each output line newline-terminated.	Used only for diagnostic messages.	Reads inputs without modifying them; no output files.	0 successful completion; greater than 0 if an error occurs.	XCU:paste:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/paste.html	cmds/paste	cmds/paste/paste_test.go#TestPasteParallel;cmds/paste/paste_test.go#TestPasteSerial;cmds/paste/paste_test.go#TestPasteStdin;cmds/paste/paste_test.go#TestPasteErrors;cmds/paste/paste_test.go#TestPasteUnknownFlag;cmds/paste/paste_test.go#TestPasteHelpAndVersion	-	-	-	partial
patch	external_provider	cmds/posixproviders	external_provider	pkg/posixprovider/manifest.tsv#patch	external	patch [-blNR] [-c|-e|-n|-u] [-d dir] [-D define] [-i patchfile] [-o outfile] [-p num] [-r rejectfile] [file]	-	base	-b;-c;-d;-D;-e;-i;-l;-n;-N;-o;-p;-R;-r;-u	-	POSIX Issue 7 only; GNU compatibility is out of scope	-d=<dir>;-D=<define>;-i=<patchfile>;-o=<outfile>;-p=<num>;-r=<rejectfile>	file	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_COLLATE;LC_CTYPE;LC_MESSAGES;NLSPATH;LC_TIME	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:patch:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/patch.html	-	-	-	-	-	unverified
pathchk	go	cmds/pathchk	go	cmds/pathchk	flagset	pathchk [-p] [-P] pathname...	-	base	-p;-P	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	pathname	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:pathchk:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/pathchk.html	cmds/pathchk	-	-	-	-	unverified
pax	go	cmds/pax	go	cmds/pax	flagset	pax [-dv] [-c|-n] [-H|-L] [-o options] [-f archive] [-s replstr]... [pattern...] ; pax -r[-c|-n] [-dikuv] [-H|-L] [-f archive] [-o options]... [-p string]... [-s replstr]... [pattern...] ; pax -w [-dituvX] [-H|-L] [-b blocksize] [[-a] [-f archive]] [-o options]... [-s replstr]... [-x format] [file...] ; pax -r -w [-diklntuvX] [-H|-L] [-o options]... [-p string]... [-s replstr]... [file...] directory	-	base	-r;-w;-a;-b;-c;-d;-f;-H;-i;-k;-l;-L;-n;-o;-p;-s;-t;-u;-v;-x;-X	-	POSIX Issue 7 only; GNU compatibility is out of scope	-b=<blocksize>;-f=<archive>;-o=<options>;-p=<string>;-s=<replstr>;-x=<format>	directory;file;pattern	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_COLLATE;LC_CTYPE;LC_MESSAGES;LC_TIME;NLSPATH;TMPDIR;TZ	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:pax:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/pax.html	cmds/pax	-	-	-	-	unverified
pr	go	cmds/pr	go	cmds/pr	flagset	pr [+page] [-column] [-adFmrt] [-e[char][gap]] [-h header] [-i[char][gap]] [-l lines] [-n[char][width]] [-o offset] [-s[char]] [-w width] [-fp] [file...]	-	base;xsi	+<page>;-<column>;-a;-d;-e;-f;-F;-h;-i;-m;-n;-o;-p;-r;-s;-t;-w	xsi:-l	POSIX Issue 7 only; GNU compatibility is out of scope	-e[char][gap];-h=<header>;-i[char][gap];-l=<lines>;-n[char][width];-o=<offset>;-s[char];-w=<width>	file	Read file operands in order; a missing file operand or a file operand of - selects standard input. +page selects the first output page and -column selects the column count.	A file operand of - selects standard input. pr is exempt from several Utility Syntax Guidelines; this interface makes no -- delimiter claim.	Read as a text file when no file operand is given or when a file operand is -; /dev/tty supplies -p responses.	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;LC_TIME;NLSPATH;TZ	Write paginated input, including headers and trailers unless -t suppresses them; formatting is controlled by the declared page, column, tab, numbering, width, and merge options.	Used for diagnostics and to alert the terminal when -p is specified.	stdout_and_terminal_prompt	0 for successful completion; greater than 0 if an error occurs.	XCU:pr:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/pr.html	cmds/pr	cmds/pr/pr_test.go	-	-	-	partial
printf	go	cmds/printf	shell	shell:printf	shell_builtin	printf format [argument...]	-	base	-	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	format;argument	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;LC_NUMERIC;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:printf:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/printf.html	-	-	-	bashy:internal/cli/profile_b_routing_test.go#TestProfileBRoutePrintf	-	unverified
ps	go	cmds/ps	go	cmds/ps	flagset	-	xsi::ps [-aA] [-defl] [-g grouplist] [-G grouplist] [-n namelist] [-o format]... [-p proclist] [-t termlist] [-u userlist] [-U userlist]	xsi	-	xsi:-a,-A,-d,-e,-f,-g,-G,-l,-n,-o,-p,-t,-u,-U	POSIX Issue 7 only; GNU compatibility is out of scope	-g=<grouplist>;-G=<grouplist>;-n=<namelist>;-o=<format>;-p=<proclist>;-t=<termlist>;-u=<userlist>;-U=<userlist>	-	UNVERIFIED	UNVERIFIED	UNVERIFIED	COLUMNS;LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;LC_TIME;NLSPATH;TZ	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:ps:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/ps.html	cmds/ps	-	-	-	-	unverified
pwd	go	cmds/pwd	shell	shell:pwd	shell_builtin	pwd [-L|-P]	-	base	-L;-P	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	-	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_MESSAGES;NLSPATH;PWD	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:pwd:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/pwd.html	-	-	-	bashy:internal/cli/profile_b_routing_test.go#TestProfileBRoutePwd	-	unverified
read	shell_only	-	shell	shell:read	shell_builtin	read [-r] var...	-	base	-r	-	POSIX Issue 7 only; GNU compatibility is out of scope	-	var	UNVERIFIED	UNVERIFIED	UNVERIFIED	IFS;LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH;PS2	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:read:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/read.html	-	-	-	bashy:internal/cli/profile_b_routing_test.go#TestProfileBRouteRead	-	unverified
renice	go	cmds/renice	go	cmds/renice	flagset	renice [-g|-p|-u] -n increment ID...	-	base	-g;-n;-p;-u	-	POSIX Issue 7 only; GNU compatibility is out of scope	-n=<increment>	ID	UNVERIFIED	UNVERIFIED	UNVERIFIED	LANG;LC_ALL;LC_CTYPE;LC_MESSAGES;NLSPATH	UNVERIFIED	UNVERIFIED	UNVERIFIED	UNVERIFIED	XCU:renice:SYNOPSIS,OPTIONS,OPERANDS,ENVIRONMENT_VARIABLES,STDIN,INPUT_FILES,STDOUT,STDERR,OUTPUT_FILES,EXIT_STATUS,CONSEQUENCES_OF_ERRORS	POSIX08-2016:https://pubs.opengroup.org/onlinepubs/9699919799.2016edition/utilities/renice.html	cmds/renice	-	-	-	-	unverified
